,region,gravity,type,2016,2017,2018,2019,2020,2021
0,Российская Федерация,Всего,несовершеннолетними или при их соучастии,53736,45288,43553,41548,37771,31865
1,Белгородская область,Всего,несовершеннолетними или при их соучастии,272,218,220,246,219,231
2,Брянская область,Всего,несовершеннолетними или при их соучастии,326,308,244,250,197,189
3,Владимирская область,Всего,несовершеннолетними или при их соучастии,657,511,414,383,378,334
4,Воронежская область,Всего,несовершеннолетними или при их соучастии,651,622,568,589,481,414
5,Ивановская область,Всего,несовершеннолетними или при их соучастии,384,292,323,386,300,207
6,Калужская область,Всего,несовершеннолетними или при их соучастии,357,393,397,369,409,356
7,Костромская область,Всего,несовершеннолетними или при их соучастии,267,278,327,227,158,155
8,Курская область,Всего,несовершеннолетними или при их соучастии,420,350,327,317,305,181
9,город Москва,Всего,несовершеннолетними или при их соучастии,728,566,635,463,480,469
10,Московская область,Всего,несовершеннолетними или при их соучастии,1048,890,748,767,767,734
11,Липецкая область,Всего,несовершеннолетними или при их соучастии,320,270,290,308,242,238
12,Орловская область,Всего,несовершеннолетними или при их соучастии,186,177,134,165,122,75
13,Рязанская область,Всего,несовершеннолетними или при их соучастии,254,128,169,148,192,108
14,Смоленская область,Всего,несовершеннолетними или при их соучастии,215,285,307,305,266,204
15,Тамбовская область,Всего,несовершеннолетними или при их соучастии,272,176,268,257,208,189
16,Тверская область,Всего,несовершеннолетними или при их соучастии,478,359,352,299,375,302
17,Тульская область,Всего,несовершеннолетними или при их соучастии,401,308,335,299,221,208
18,Ярославская область,Всего,несовершеннолетними или при их соучастии,544,393,286,273,269,282
19,Архангельская область (кроме Ненецкого автономного округа),Всего,несовершеннолетними или при их соучастии,756,668,591,601,551,439
20,Ненецкий автономный округ (Архангельская область),Всего,несовершеннолетними или при их соучастии,51,27,51,39,20,15
21,город Санкт-Петербург,Всего,несовершеннолетними или при их соучастии,703,575,594,479,443,420
22,Ленинградская область,Всего,несовершеннолетними или при их соучастии,475,346,438,359,309,282
23,Вологодская область,Всего,несовершеннолетними или при их соучастии,997,595,570,654,510,369
24,Калининградская область,Всего,несовершеннолетними или при их соучастии,500,375,425,372,295,239
25,Мурманская область,Всего,несовершеннолетними или при их соучастии,495,266,283,346,263,259
