,region,gravity,type,2016,2017,2018,2019,2020,2021
0,Российская Федерация,Всего,несовершеннолетними или при их соучастии,36.669,30.849,29.652,28.306,25.739,21.8
1,Белгородская область,Всего,несовершеннолетними или при их соучастии,17.547,14.039,14.195,15.897,14.137,14.988
2,Брянская область,Всего,несовершеннолетними или при их соучастии,26.596,25.235,20.149,20.83,16.52,15.981
3,Владимирская область,Всего,несовершеннолетними или при их соучастии,47.024,36.773,30.036,28.042,27.827,24.886
4,Воронежская область,Всего,несовершеннолетними или при их соучастии,27.898,26.633,24.338,25.303,20.695,17.956
5,Ивановская область,Всего,несовершеннолетними или при их соучастии,37.287,28.539,31.834,38.439,30.086,20.972
6,Калужская область,Всего,несовершеннолетними или при их соучастии,35.355,38.736,39.223,36.557,40.795,35.565
7,Костромская область,Всего,несовершеннолетними или при их соучастии,40.985,42.891,50.83,35.621,24.945,24.665
8,Курская область,Всего,несовершеннолетними или при их соучастии,37.499,31.169,29.321,28.635,27.627,16.507
9,город Москва,Всего,несовершеннолетними или при их соучастии,5.904,4.572,5.077,3.67,3.786,3.706
10,Московская область,Всего,несовершеннолетними или при их соучастии,14.32,11.989,9.969,10.093,9.973,9.522
11,Липецкая область,Всего,несовершеннолетними или при их соучастии,27.679,23.352,25.213,26.922,21.24,21.096
12,Орловская область,Всего,несовершеннолетними или при их соучастии,24.483,23.449,17.932,22.313,16.633,10.349
13,Рязанская область,Всего,несовершеннолетними или при их соучастии,22.476,11.36,15.069,13.284,17.315,9.834
14,Смоленская область,Всего,несовершеннолетними или при их соучастии,22.428,29.899,32.338,32.365,28.453,22.147
15,Тамбовская область,Всего,несовершеннолетними или при их соучастии,25.897,16.918,25.93,25.296,20.661,19.006
16,Тверская область,Всего,несовершеннолетними или при их соучастии,36.636,27.684,27.417,23.55,29.753,24.245
17,Тульская область,Всего,несовершеннолетними или при их соучастии,26.619,20.541,22.455,20.219,15.074,14.354
18,Ярославская область,Всего,несовершеннолетними или при их соучастии,42.77,30.927,22.596,21.673,21.462,22.716
19,Архангельская область (кроме Ненецкого автономного округа),Всего,несовершеннолетними или при их соучастии,66.888,59.546,53.194,54.622,50.438,40.548
20,Ненецкий автономный округ (Архангельская область),Всего,несовершеннолетними или при их соучастии,116.337,61.452,115.917,88.982,45.34,33.792
21,город Санкт-Петербург,Всего,несовершеннолетними или при их соучастии,13.453,10.887,11.099,8.897,8.207,7.8
22,Ленинградская область,Всего,несовершеннолетними или при их соучастии,26.703,19.309,24.148,19.428,16.472,14.899
23,Вологодская область,Всего,несовершеннолетними или при их соучастии,83.945,50.259,48.441,56.007,43.949,32.058
24,Калининградская область,Всего,несовершеннолетними или при их соучастии,51.206,38.022,42.731,37.119,29.135,23.463
25,Мурманская область,Всего,несовершеннолетними или при их соучастии,64.946,35.11,37.555,46.253,35.473,35.341
26,Новгородская область,Всего,несовершеннолетними или при их соучастии,66.917,60.406,56.556,54.973,64.375,53.341
27,Псковская область,Всего,несовершеннолетними или при их соучастии,43.319,39.087,36.761,53.522,31.624,21.282
28,Республика Карелия,Всего,несовершеннолетними или при их соучастии,84.779,90.578,66.186,82.031,81.099,70.435
29,Республика Коми,Всего,несовершеннолетними или при их соучастии,76.911,61.842,43.883,56.61,61.794,47.444
30,Кабардино-Балкарская Республика,Всего,несовершеннолетними или при их соучастии,18.092,17.815,15.592,16.047,15.432,10.585
31,Карачаево-Черкесская Республика,Всего,несовершеннолетними или при их соучастии,21.804,10.291,16.727,25.131,18.474,13.753
32,Республика Дагестан,Всего,несовершеннолетними или при их соучастии,10.28,8.745,9.53,8.101,6.815,6.255
