,Российская Федерация,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,город Москва,Республика Карелия,Республика Коми,Архангельская область (кроме Ненецкого автономного округа),Ненецкий автономный округ (Архангельская область),Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,город Санкт-Петербург,Республика Адыгея (Адыгея),Республика Калмыкия,Республика Крым,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,город Севастополь,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия-Алания,Чеченская Республика,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан (Татарстан),Удмуртская Республика,Чувашская Республика - Чувашия,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Тюменская область (без автономных округов),Ханты-Мансийский автономный округ - Югра (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),Челябинская область,Республика Алтай,Республика Тыва,Республика Хакасия,Алтайский край,Красноярский край,Иркутская область,Кемеровская область - Кузбасс,Новосибирская область,Омская область,Томская область,Республика Бурятия,Республика Саха (Якутия),Забайкальский край,Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская автономная область,Чукотский автономный округ
2005-01-01,17.2,4.5,14.3,6.4,7.7,10.7,4.5,11.1,22.0,9.4,13.0,2.7,2.6,14.9,3.6,7.1,6.9,7.7,9.3,7.0,19.0,1.5,2.4,11.6,18.9,21.5,21.6,8.1,12.2,25.2,45.8,19.7,,39.9,10.7,11.0,7.1,,15.3,6.4,31.9,41.6,14.6,11.3,25.2,10.6,9.0,3.2,20.2,11.7,3.3,31.8,3.6,5.8,11.8,7.0,20.5,5.6,14.1,17.6,24.0,24.7,34.6,18.2,15.1,12.7,15.6,17.6,29.8,22.2,56.7,45.9,28.1,6.2,19.2,9.5,8.1,13.1,4.0,42.9,7.3,21.3,21.9,36.5,28.2,2.0
2006-01-01,19.1,9.5,11.5,5.7,12.3,9.6,5.3,6.2,33.3,14.7,15.0,2.8,7.2,15.3,2.6,10.8,6.1,3.9,13.2,5.2,19.8,1.4,19.1,9.7,13.3,26.5,36.8,15.4,8.8,28.7,50.2,29.2,,43.3,12.9,17.9,8.4,,20.0,6.7,37.6,45.3,13.0,11.3,23.5,9.7,7.9,3.6,19.4,14.7,2.7,44.5,6.1,7.1,10.9,7.3,19.7,5.9,12.4,35.8,31.0,26.8,38.2,26.6,20.6,6.3,21.0,19.2,35.2,28.6,43.4,52.9,27.1,12.7,13.9,3.4,7.5,7.3,4.3,29.4,8.8,27.2,34.7,34.8,15.0,4.0
2007-01-01,19.1,9.5,11.5,5.7,12.3,9.6,5.3,6.2,33.3,14.7,15.0,2.8,7.2,15.3,2.6,10.8,6.1,3.9,13.2,5.2,19.8,1.4,19.1,9.7,13.3,26.5,36.8,15.4,8.8,28.7,50.2,29.2,,43.3,12.9,17.9,8.4,,20.0,6.7,37.6,45.3,13.0,11.3,23.5,9.7,7.9,3.6,19.4,14.7,2.7,44.5,6.1,7.1,10.9,7.3,19.7,5.9,12.4,35.8,31.0,26.8,38.2,26.6,20.6,6.3,21.0,19.2,35.2,28.6,43.4,52.9,27.1,12.7,13.9,3.4,7.5,7.3,4.3,29.4,8.8,27.2,34.7,34.8,15.0,4.0
2008-01-01,18.7,4.2,14.4,6.8,16.2,17.7,5.6,18.3,23.8,16.9,19.8,3.2,9.8,13.9,3.4,10.3,6.4,8.5,12.4,4.6,22.3,2.6,16.7,8.4,5.1,28.2,37.8,13.4,16.4,23.7,37.3,10.9,,27.8,6.8,13.9,7.4,,17.1,4.8,21.1,15.7,5.1,16.6,20.9,9.3,9.7,14.6,17.3,14.4,5.6,35.7,4.2,11.3,8.4,13.6,21.4,6.2,12.5,26.3,50.9,20.6,26.8,21.0,23.7,15.4,7.7,11.2,37.7,18.6,39.4,51.9,34.3,16.0,15.4,7.2,9.5,9.2,3.8,27.5,10.3,28.4,29.2,36.8,28.0,2.0
2009-01-01,17.8,3.9,15.4,8.3,16.1,15.3,8.5,16.8,18.5,19.0,20.3,2.6,12.9,17.4,2.4,8.7,6.9,7.0,15.0,5.0,21.9,3.4,9.5,10.2,7.0,26.4,35.4,10.4,13.3,23.7,16.9,6.0,,15.3,8.1,19.8,9.8,,12.9,4.1,16.7,7.3,6.4,20.7,17.5,11.9,10.0,13.1,8.8,14.1,5.9,34.5,4.7,12.0,6.9,18.5,21.4,7.8,15.2,30.1,47.8,22.8,30.5,27.5,24.4,4.8,19.0,19.5,27.3,29.5,25.6,49.0,27.8,15.7,17.9,7.7,10.0,7.1,5.2,18.3,8.4,26.2,20.4,34.9,16.7,14.3
2010-01-01,17.6,4.8,18.3,7.8,12.6,14.8,11.9,19.9,19.3,23.2,21.1,4.4,11.4,17.0,3.8,9.8,8.2,8.2,16.5,6.6,24.5,4.6,4.7,10.9,9.5,23.0,32.9,14.8,17.1,23.3,14.0,5.3,,10.5,9.8,21.9,10.8,,16.8,0.6,17.7,14.5,7.7,19.6,16.9,13.5,8.6,8.2,9.4,15.2,3.3,28.3,3.5,14.0,5.5,19.6,19.6,7.2,18.6,30.3,42.8,19.9,26.0,26.3,32.1,3.8,5.4,12.1,24.5,21.7,22.9,36.8,30.7,10.6,13.1,7.2,9.7,8.5,4.7,30.3,10.3,37.1,19.8,39.5,25.4,9.15
2011-01-01,15.4,4.0,20.3,7.4,20.0,12.8,9.0,14.3,18.2,10.8,14.6,3.2,9.7,16.5,4.3,6.2,3.7,9.4,13.2,5.4,17.2,6.4,9.5,13.4,5.3,12.9,27.2,12.8,8.5,17.0,15.2,3.8,,9.8,7.5,16.1,17.5,,16.7,1.2,17.7,13.2,6.5,8.0,14.4,12.3,4.5,6.0,8.2,11.3,2.0,17.4,4.1,17.3,12.1,11.8,17.4,12.3,19.2,25.1,29.9,18.0,22.4,19.8,32.4,2.4,5.2,22.9,26.4,21.1,26.9,27.3,24.1,7.8,11.3,5.7,8.3,9.1,15.2,30.0,13.3,33.9,20.4,34.8,27.8,4.0
2012-01-01,13.9,2.3,15.4,9.8,18.1,9.1,6.6,13.6,10.1,9.3,16.2,3.1,9.7,20.1,3.0,6.1,3.5,8.4,16.6,5.6,14.2,4.0,11.8,14.2,3.7,10.7,25.1,11.0,11.7,15.0,12.4,4.5,,6.0,5.1,15.0,12.8,,14.5,0.7,17.2,4.6,3.5,2.0,9.2,9.4,4.6,6.8,7.5,8.3,2.4,15.3,1.6,18.2,8.0,9.6,13.7,9.0,12.1,16.8,29.4,13.3,13.9,13.6,31.2,3.8,4.2,12.8,33.4,20.9,23.6,24.6,23.4,9.5,8.3,5.1,6.4,5.3,12.8,23.3,12.3,24.2,19.4,27.7,29.8,3.95
2013-01-01,12.6,2.4,12.8,11.5,16.8,7.9,10.1,3.5,8.6,8.8,17.2,3.0,6.8,15.9,2.7,4.2,4.2,9.7,20.8,4.2,7.0,4.0,4.7,8.7,4.8,10.4,21.7,11.8,9.8,11.5,5.9,0.4,,4.3,2.3,6.0,12.3,,14.6,1.4,12.8,4.9,2.1,1.2,5.8,8.9,3.9,7.6,6.8,3.8,2.3,5.5,2.1,15.1,4.3,7.7,13.3,6.9,13.3,15.0,24.0,13.0,16.2,9.0,36.2,7.6,6.4,8.8,22.9,15.9,24.9,20.0,22.0,8.9,18.2,4.1,5.4,4.2,12.2,24.5,9.4,22.5,18.4,11.8,27.2,3.9
2014-01-01,14.5,1.9,14.8,15.5,19.9,9.0,18.4,6.0,10.8,9.8,21.9,4.6,27.4,21.2,2.4,6.8,7.9,14.3,21.1,5.2,11.0,4.35,4.6,4.5,6.1,8.9,14.9,10.5,11.5,9.4,5.65,0.30000000000000004,,4.275,1.9,6.575,11.65,,13.475,1.3499999999999999,12.25,5.175000000000001,2.825,1.1,5.35,6.7,7.0,9.6,7.4,4.7,1.7,6.4,3.0,14.2,5.5,12.2,17.4,8.5,25.6,21.4,27.1,12.95,18.5,7.8,36.5,5.6,10.2,12.3,21.6,26.8,22.8,22.5,21.4,15.7,12.2,5.2,7.9,5.6,12.3,37.4,10.5,22.2,6.8,26.0,25.5,3.425
