,Российская Федерация,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,город Москва,Республика Карелия,Республика Коми,Ненецкий автономный округ (Архангельская область),Архангельская область (кроме Ненецкого автономного округа),Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,город Санкт-Петербург,Республика Адыгея (Адыгея),Республика Калмыкия,Республика Крым,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,город Севастополь,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия-Алания,Чеченская Республика,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан (Татарстан),Удмуртская Республика,Чувашская Республика - Чувашия,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Ханты-Мансийский автономный округ - Югра (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),Тюменская область (без автономных округов),Челябинская область,Республика Алтай,Республика Тыва,Республика Хакасия,Алтайский край,Красноярский край,Иркутская область,Кемеровская область - Кузбасс,Новосибирская область,Омская область,Томская область,Республика Бурятия,Забайкальский край,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская автономная область,Чукотский автономный округ
1996.0,12225.0,9575.6,7275.3,7620.7,7651.9,6725.4,8366.3,9104.8,9158.0,11823.5,9649.7,7665.2,8762.6,8327.8,6030.8,8464.8,8251.2,11680.5,21687.1,11561.1,16999.7,,,14189.5,7704.7,10039.7,15833.2,9561.0,6963.5,13066.7,5207.4,3911.5,,8455.9,7643.9,9799.8,6609.4,,2722.1,2405.1,5131.4,5435.4,4538.4,,7718.6,12454.1,6293.8,7777.3,14061.5,10571.8,7326.2,13694.7,8793.4,9774.8,10648.6,6995.7,15758.0,8580.5,9311.9,7357.7,13311.3,,,,12426.6,6277.4,5099.6,10787.0,7605.8,17517.4,15518.2,15627.0,11115.4,12060.1,15713.5,9230.7,9220.2,27259.7,20397.7,11258.5,14517.1,13155.7,26438.6,15476.9,7177.0,30606.1
1997.0,13938.4,10792.2,7175.7,8431.3,8686.6,6379.3,8795.3,10268.0,10286.3,12175.3,10170.6,8661.3,9945.7,9032.6,6571.0,9094.9,8396.3,12459.9,29067.4,12871.6,21659.7,,,14862.7,8229.3,10569.5,18427.8,10009.0,7575.5,14800.0,5814.9,4752.6,,8538.6,8559.6,10447.4,7493.3,,3888.4,3317.1,5459.2,5703.0,4796.8,,8833.8,14086.0,7522.7,8509.1,14849.0,11868.5,7897.0,15677.7,9882.8,12205.3,12428.0,7209.2,18514.7,10450.4,10148.4,7940.3,14591.8,,,,13096.6,6522.5,5925.8,13774.9,7431.0,19933.1,18708.6,14310.1,12562.7,13008.3,17516.7,10642.0,10263.3,30625.2,22086.6,13043.3,19803.7,15818.0,30770.0,19625.3,8355.6,33540.9
1998.0,15371.1,12242.8,7659.1,9350.2,9082.1,6804.5,9330.4,10971.7,11909.9,13216.6,12329.5,10641.3,10000.6,10358.8,7866.9,10655.2,10084.8,13911.4,33887.4,15055.1,26798.7,,,18080.3,8783.5,12708.0,23233.5,12860.3,7616.8,18024.9,6907.7,4899.8,,10063.7,10172.2,11000.6,8455.0,,3589.4,3428.9,6611.7,6391.3,5727.5,,10363.8,13745.0,8156.1,8963.9,17366.3,11807.2,8328.9,17955.2,9978.7,12936.8,12296.5,6940.6,20439.5,10186.4,10233.6,8833.0,15825.7,,,,12152.2,7596.2,6404.6,14496.9,8012.4,22937.6,18834.6,14326.3,12586.1,12458.3,19078.5,10953.8,10602.1,34109.9,30380.4,14394.0,19517.6,15103.7,32315.5,21428.2,7535.3,37859.4
1999.0,26200.6,21398.0,11752.4,15457.1,14808.3,9765.2,14891.4,17450.4,17093.8,25079.9,19753.4,17800.8,15691.0,18562.0,13514.2,16527.4,16300.3,23596.7,70506.5,27099.9,41025.0,,,34471.0,16270.4,23516.4,43012.3,21772.7,13947.2,28247.0,10061.7,7104.1,,19267.7,15805.2,16181.9,14380.4,,5383.3,5098.0,11057.3,9550.5,9835.2,,14018.6,23709.8,12369.4,13176.5,28593.4,21642.8,12407.3,30241.6,16164.9,19806.2,23293.9,11825.9,32022.5,16130.7,16310.6,13882.1,24476.2,,,,21580.9,10817.6,8908.8,23582.9,12204.8,41021.4,29255.0,21682.1,19322.5,15727.1,25149.2,16039.5,17321.4,64704.9,39638.0,24716.7,27162.8,21935.4,50936.4,45662.9,15344.9,49746.0
2000.0,39532.3,27969.5,17413.5,21073.3,20365.1,14240.0,22438.0,21984.7,23677.7,39050.9,26687.7,25168.4,22070.3,25798.1,19133.8,23073.1,24291.8,29828.0,115630.5,38539.2,56619.5,,,53432.8,24308.8,33265.1,59157.8,29347.0,20544.7,39811.1,12315.1,20183.7,,26713.9,27815.3,23340.8,20003.8,,8489.7,6667.9,15948.9,12404.2,11964.5,,19603.9,35245.9,15114.8,19219.8,49139.3,33488.8,17276.5,43273.2,23165.6,29090.1,34585.2,16900.3,42758.9,23315.4,21411.5,17758.7,34214.7,,,,33012.3,13505.1,11749.3,31333.2,17660.5,71281.0,39115.2,30047.8,26472.3,21643.1,38386.0,21555.1,25320.1,85375.5,49108.7,29139.9,44171.2,28317.2,65704.6,61595.8,19484.8,65963.0
2001.0,49474.8,33126.7,21511.9,27170.0,24905.4,18947.2,30201.9,29668.3,28946.1,41308.6,35569.3,31676.1,29645.8,33575.4,25830.2,31209.8,30988.5,44116.3,134435.8,46499.2,75534.6,,,50934.4,33797.4,45248.2,62965.4,38975.3,25031.4,53525.3,14858.6,22261.8,,34912.4,32037.2,30513.2,26817.8,,12562.3,8000.7,21834.2,16639.7,17914.2,,24780.1,40609.7,20502.6,24473.2,56479.2,41407.0,23253.6,58570.7,27297.1,41773.2,38769.3,22547.8,55147.0,31094.4,27453.2,24429.3,44119.0,,,,39216.5,22164.4,17012.1,36306.2,23509.0,80038.8,46044.3,38839.7,35177.3,29219.2,54221.6,30314.6,29979.7,105733.3,63274.0,34628.0,54983.9,42578.3,89987.5,84769.1,24877.5,123130.9
2002.0,60611.4,41327.4,27020.0,32923.6,34789.6,23396.9,35708.4,35109.5,36545.7,58065.7,47323.5,41322.8,37164.2,39983.1,32858.4,37695.3,38894.3,54917.2,171127.8,57575.7,84101.9,,,63433.6,42019.6,56738.1,76236.9,45178.5,31547.3,72059.8,17707.5,24676.8,,42477.6,40786.8,38617.7,31941.7,,16195.5,7751.7,25369.9,23297.3,22541.2,,29453.4,45756.0,24411.2,30848.9,66298.7,49800.6,28261.3,63032.2,33124.0,48321.6,43145.6,28554.2,63582.9,36413.6,32922.8,29253.3,52241.3,,,,47775.7,26160.6,22421.0,46443.7,27991.2,77729.0,54156.9,46860.1,45659.6,44424.1,72107.4,38524.0,38443.3,121163.1,71934.1,46632.5,70162.9,50449.6,121272.5,85927.4,35766.0,187368.1
2003.0,74840.5,50271.4,31953.4,40809.4,42237.5,29192.4,47136.5,40741.1,46131.2,79661.2,62023.3,49342.3,48977.6,47084.3,40133.5,47233.8,43541.9,67915.1,209174.1,65708.0,106304.1,,,85259.1,49167.4,72578.7,91442.1,55387.3,39190.7,87919.3,22091.7,22394.9,,48572.8,50386.3,47934.1,39180.4,,22168.7,10332.4,29036.2,25999.0,26705.1,,37058.0,59274.3,31719.0,37681.7,80809.2,56904.4,34540.2,74783.8,38900.6,59149.2,53548.8,33304.2,79369.1,45223.0,40195.3,36759.0,63865.6,,,,61444.7,34042.3,26607.4,53320.2,34295.8,92547.5,65468.6,57302.3,57360.1,55729.2,93193.8,53479.2,46308.5,140065.1,83980.4,57986.3,81613.4,59480.3,135180.6,116731.0,45196.1,256992.1
2004.0,97691.9,75629.4,37719.1,49353.4,49530.0,35732.7,56325.6,52661.0,63512.1,117959.2,79833.2,54740.1,58094.5,54178.9,49098.8,61158.4,53715.1,84008.1,268390.3,77509.7,132733.1,,,129015.6,70426.0,99230.0,144469.3,72549.3,48358.5,116030.9,28133.2,29105.7,,61291.7,56357.5,57928.0,50678.6,,30629.6,14024.9,32884.8,29348.9,34323.6,,44610.0,76042.5,41757.6,43807.6,103726.8,64732.3,45955.1,96240.2,48464.8,69629.5,79522.8,41595.8,101362.5,57710.3,49606.5,42889.3,82546.5,,,,81894.8,42067.6,32309.0,61336.4,44934.9,125287.8,84014.3,85850.4,71843.4,94389.6,128090.8,65707.2,53845.5,161309.0,101205.1,74713.1,94795.1,72937.0,139840.3,172004.4,60029.9,238227.2
2005.0,125658.7,95911.2,49923.4,58261.0,56534.5,40039.1,69192.2,63304.4,72995.3,121376.2,104738.3,64180.4,70665.8,63687.0,55573.9,68048.7,71587.4,99335.1,381997.1,112950.3,176075.2,,,156379.7,87122.8,122024.2,156652.5,95286.2,55772.9,141795.6,38514.5,33017.9,,72794.1,69814.0,76740.6,60575.0,,33839.8,17435.1,42253.1,36971.7,44127.2,20038.4,53414.6,93683.1,46589.5,50982.6,128226.9,90316.3,54001.9,119654.0,55726.6,87354.7,101110.3,52163.8,124575.2,65656.6,59804.8,51724.0,108697.2,,,,99159.8,43592.3,38429.7,77864.6,53812.4,152389.0,102904.3,104764.5,88475.5,108970.6,155365.2,77313.2,61741.0,191896.0,129240.8,92504.2,116257.5,88597.1,157798.9,230298.2,77319.2,237134.5
