,region,total,18_30,31_40,41_50,51_60,60_,date
0,Российская Федерация,79.29513843089087,3.7525789763264,5.218196090236332,7.020581103674487,14.54613354430616,48.7576487163475,2017-01-01
1,Белгородская область,143.62484826433723,4.068608668493398,6.6863507130368705,10.68734242835018,24.11284947500266,98.0696969794541,2017-01-01
2,Брянская область,90.46725602811894,3.4534177775228794,5.381268793065308,8.381604712706775,17.599731264286824,55.651233480537144,2017-01-01
3,Владимирская область,95.96437533417915,3.205241224266857,4.901414005047499,6.912785630962601,16.783259055310204,64.16167541859198,2017-01-01
4,Воронежская область,94.61087741413921,3.301778532915876,4.9276186430807805,7.679172118961654,19.538770099271733,59.163538019909154,2017-01-01
5,Ивановская область,80.87707810041341,3.109942629279592,4.56913318412385,6.190564617805447,13.197220403256546,53.81021726594798,2017-01-01
6,Калужская область,77.46335886138955,3.386656416018609,4.7320539736045815,6.114905822170969,13.880757365189194,49.348985284406204,2017-01-01
7,Костромская область,99.26453004441825,3.7737770324165285,5.847348713351857,7.740408573848621,18.983055031419855,62.919940693381385,2017-01-01
8,Курская область,107.5026738968005,4.96752584618481,7.553702801602646,12.001143474934834,25.356823846973843,57.62347792710437,2017-01-01
9,Липецкая область,108.17222658989934,3.9629102048829767,5.874309496194932,8.942927000979916,21.539999705938573,67.85208018190295,2017-01-01
10,Орловская область,86.6807274885535,3.4365991181956925,4.937627183313549,7.146112430049177,16.470239104629474,54.690149652365605,2017-01-01
11,Рязанская область,122.91222723274866,3.8464986123671943,5.66945849926203,8.804168489774474,22.587307264592777,82.0047943667522,2017-01-01
12,Смоленская область,83.35282904654946,3.671838363577042,5.506708448690255,7.3111547302195445,16.169727056517985,50.69340044754464,2017-01-01
13,Тамбовская область,112.00805131463473,3.293195312627664,5.523263358540151,9.36532455660576,21.121243608980638,72.7050244778805,2017-01-01
14,Тверская область,79.43713713536177,3.2942653410436002,4.916721866688669,6.372614414415804,14.713151382750912,50.14038413046278,2017-01-01
15,Тульская область,102.60454563340285,3.954870459651985,6.092367900323926,9.641080499954315,20.42727273333569,62.48895404013693,2017-01-01
