,Region,Disease,Age_group,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
0,Российская Федерация,"Беременность, роды и послеродовой период",15-17 лет,1537.3,1527.5,1605.2,1681.5,1618.9,1451.3,1247.6,1229.1,1272.3,1186.5,914.0,794.0
1,Российская Федерация,"Беременность, роды и послеродовой период",18 лет и старше,6731.7,6833.5,7229.7,7516.9,8007.5,8084.4,7981.6,8141.8,8084.6,8219.9,7734.1,7278.6
2,Российская Федерация,"Беременность, роды и послеродовой период",Всего,5719.4,5861.2,6258.7,6556.6,7011.6,7085.3,6979.7,7121.5,7067.6,7145.3,6700.2,6291.1
3,Российская Федерация,Болезни глаза и его придаточного аппарата,0-14 лет,5643.4,5581.1,5760.8,5775.9,5743.6,5884.8,5931.9,6206.9,6104.5,5919.4,5910.3,5971.5
4,Российская Федерация,Болезни глаза и его придаточного аппарата,15-17 лет,4696.5,4935.9,5088.2,5230.4,5647.3,5756.6,5684.6,6051.5,6186.3,6493.7,6385.3,6262.9
5,Российская Федерация,Болезни глаза и его придаточного аппарата,18 лет и старше,2862.0,3142.9,3012.9,2913.5,2837.0,2753.5,2753.9,2921.0,2900.5,2854.4,2687.6,2588.6
6,Российская Федерация,Болезни глаза и его придаточного аппарата,Всего,3365.9,3584.0,3501.6,3422.2,3366.7,3322.6,3330.1,3525.4,3504.4,3464.2,3332.0,3266.4
7,Российская Федерация,Болезни костно-мышечной системы и соединительной ткани,0-14 лет,3886.4,3877.0,3986.6,3979.0,3965.8,3858.3,3969.4,3926.5,3700.2,3437.6,3316.1,3204.4
8,Российская Федерация,Болезни костно-мышечной системы и соединительной ткани,15-17 лет,5235.5,5409.1,5700.5,5744.1,6110.4,6126.9,6058.4,6131.7,6023.0,6123.6,5888.3,5722.5
9,Российская Федерация,Болезни костно-мышечной системы и соединительной ткани,18 лет и старше,3127.8,3370.1,3342.2,3349.7,3294.3,3176.4,3149.9,3110.4,3042.6,3024.0,2850.5,2808.0
10,Российская Федерация,Болезни костно-мышечной системы и соединительной ткани,Всего,3342.9,3536.8,3533.9,3531.6,3489.6,3374.5,3366.0,3328.1,3232.5,3177.1,2850.5,2808.0
11,Российская Федерация,Болезни мочеполовой системы,0-14 лет,2961.7,3073.5,3128.7,3129.0,3106.8,3153.4,3219.6,3204.8,3151.2,3046.2,2829.5,2761.0
