,Российская Федерация,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,город Москва,Республика Карелия,Республика Коми,Ненецкий автономный округ (Архангельская область),Архангельская область (кроме Ненецкого автономного округа),Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,город Санкт-Петербург,Республика Адыгея (Адыгея),Республика Калмыкия,Республика Крым,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,город Севастополь,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия-Алания,Чеченская Республика,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан (Татарстан),Удмуртская Республика,Чувашская Республика - Чувашия,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Ханты-Мансийский автономный округ - Югра (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),Тюменская область (без автономных округов),Челябинская область,Республика Алтай,Республика Тыва,Республика Хакасия,Алтайский край,Красноярский край,Иркутская область,Кемеровская область - Кузбасс,Новосибирская область,Омская область,Томская область,Республика Бурятия,Забайкальский край,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская автономная область,Чукотский автономный округ
2006,1476220.91,14269.0,12042.0,13915.0,19208.0,9818.0,9263.0,7061.0,10555.0,11217.99,60483.99,7478.0,10049.0,8816.0,9208.0,13288.99,12662.0,12380.0,94054.96,6941.0,10847.0,595.0,13396.0,13443.0,9106.0,12976.0,8548.0,6490.99,6418.0,40092.969999999994,4625.0,3809.0,,52956.97,12356.99,25870.96,40672.97,,40276.99,7391.0,9267.0,5035.0,8399.0,27988.97,27270.0,44920.969999999994,7499.0,7398.0,37210.0,17531.0,13230.0,30265.989999999998,13920.0,30926.979999999996,23141.989999999998,12046.0,31766.0,23717.0,11593.0,10241.0,47074.94999999999,20351.989999999998,6924.0,16625.980000000003,37718.99,3386.0,5939.0,6463.99,25512.989999999998,31751.989999999998,30917.979999999996,31929.989999999998,27891.0,21331.0,11448.0,14201.0,15646.0,13733.0,3873.0,20927.0,15559.0,10405.0,1835.0,5865.0,2242.0,716.0
2007,1602386.93,15666.0,13282.99,14679.0,20568.989999999998,10617.0,10049.0,7457.0,11704.0,11984.98,63452.99,7914.0,10953.0,9436.0,9854.99,14117.0,13070.0,13035.0,100770.98999999999,7291.0,11490.99,650.0,14438.0,14074.99,10086.99,13597.0,8754.0,6966.0,6830.99,42974.979999999996,5107.0,4147.0,,57569.969999999994,13370.0,27851.989999999998,43458.97,,45089.97,8284.0,11208.0,5984.98,9488.0,32660.979999999996,30528.989999999998,50984.0,8311.0,7696.0,40671.99,19469.0,14816.0,32746.989999999998,14942.0,33051.0,25687.989999999998,13418.0,33990.0,26129.989999999998,12203.99,11106.0,50352.979999999996,21749.989999999998,7691.0,18392.0,40940.99,4046.0,7446.0,7325.0,28209.0,34174.99,34659.95999999999,34160.99,29874.979999999996,23626.989999999998,12384.99,15355.0,16517.0,15199.0,3918.0,22304.0,16186.0,10934.99,1810.0,6125.97,2443.0,816.0
2008,1717480.94,16810.0,14319.0,15699.0,22421.989999999998,11138.0,10519.0,7867.0,12442.99,12603.99,70384.98,8345.0,11708.99,9950.0,10190.0,14811.0,14148.0,13686.99,107778.98,7705.0,11734.99,694.0,14577.0,14714.0,10730.0,14299.0,9136.0,6912.0,7068.99,47474.99,5634.0,4341.0,,62220.99,14200.0,29507.979999999996,45909.99,,49314.0,9215.0,12097.0,6387.98,9995.0,35934.979999999996,32935.99,54791.95999999999,8628.0,8220.0,44349.979999999996,20546.0,15011.0,35467.979999999996,15952.0,35580.99,26985.989999999998,14174.0,36439.0,27492.0,13461.0,11937.0,54499.979999999996,23321.0,7986.0,19996.959999999992,45090.99,4429.0,7936.0,7964.0,30710.96,36904.0,37587.0,36676.99,33171.979999999996,25087.979999999996,13372.0,16403.0,17809.0,15375.0,4018.0,22749.0,17100.0,11233.0,1787.0,6333.0,2582.0,755.0
2009,1764163.99,16911.0,14406.0,15520.0,23560.989999999998,11329.98,10553.0,8207.0,12554.0,12678.0,74137.99,8447.0,11650.0,10496.99,10176.0,15108.0,14773.0,14343.0,115785.94000000002,7875.0,11903.99,685.0,14776.0,15181.0,10800.99,15068.0,9063.0,7194.99,7192.0,51992.95999999999,5544.0,4304.0,,63751.99,14350.0,29631.989999999998,46337.99,,50594.0,9572.0,12189.0,6211.99,10030.99,36522.939999999995,32837.99,55719.969999999994,8950.0,8153.0,46554.99,21155.0,16099.0,36098.979999999996,15941.0,36243.99,28194.0,14210.0,36374.99,27538.989999999998,13684.0,11901.98,56525.979999999996,23914.97,8143.0,20865.019999999997,45733.0,4299.0,8260.0,8043.0,31037.989999999998,38237.979999999996,38159.99,37726.97,34314.979999999996,25707.98,13732.0,16819.0,17843.0,15912.0,4079.0,23390.989999999998,17609.0,11383.98,1974.0,6224.99,2457.0,699.0
2010,1789622.97,16669.0,13773.0,15540.0,23819.989999999998,11131.0,11179.98,8117.0,12558.0,12798.0,76951.98999999999,8673.0,11914.99,10274.0,10337.0,14810.0,14737.0,14287.0,123141.95000000001,7821.0,11692.99,708.0,14806.0,15112.0,10698.0,15035.0,9303.0,7248.0,7062.0,55612.99,5720.99,4417.0,,63744.99,14355.0,29532.0,46563.969999999994,,51806.0,11178.0,12576.99,6184.0,10287.0,36507.99,33066.96,57152.99,8831.0,7935.0,48967.979999999996,21734.989999999998,16227.0,37277.0,15808.0,36298.969999999994,28696.97,14168.0,37183.99,27338.989999999998,13760.0,11862.0,57423.0,25083.0,8309.0,21289.97,46766.979999999996,4244.0,8246.0,8010.0,30862.979999999996,38570.979999999996,36866.99,36514.0,35037.979999999996,26238.979999999996,13668.0,16535.0,17670.0,16133.0,3899.0,23386.989999999998,17364.0,11473.0,1799.0,6070.98,2408.0,756.0
2011,1793827.98,16894.0,13806.0,15644.0,23826.97,11035.0,10953.99,8128.0,12964.0,12545.0,76487.0,8237.0,11775.0,10229.0,10056.0,14814.0,14588.0,14157.0,126654.94000000002,7711.0,11715.0,641.0,14253.0,15525.0,11067.99,14844.0,9091.0,7222.0,7035.0,57003.969999999994,5511.0,4194.0,,63864.0,14377.99,28965.969999999994,46484.969999999994,,54426.979999999996,10874.97,12848.0,6289.0,10375.0,37334.99,32860.97,55805.99,9066.0,7896.0,50823.969999999994,21823.0,16131.0,36899.979999999996,15824.0,36314.99,28054.989999999998,13948.0,36820.99,26831.0,13935.0,11547.0,58053.99,25334.969999999994,8255.0,21528.030000000006,47299.979999999996,4673.0,8428.0,8052.0,30738.979999999996,38161.99,37236.99,35033.969999999994,34943.96,26709.97,13768.0,16459.0,17086.0,16418.0,3989.0,23270.99,17352.0,11188.0,1801.0,5838.98,2480.0,692.0
2012,1896262.96,17913.0,14376.0,16445.0,25373.989999999998,11581.0,11834.99,8484.0,13318.0,13546.0,83382.0,8650.0,12350.99,10289.0,10394.0,15476.0,15499.0,15144.0,134652.99,7980.0,12369.99,740.0,14730.0,16678.0,11752.98,15611.0,9225.0,7480.0,7323.0,62342.99,5656.0,4257.0,,69030.98,15304.0,30251.979999999996,49714.99,,56038.979999999996,9814.0,13721.0,6431.99,10669.0,34055.99,34767.979999999996,58996.99,9841.0,8168.0,55337.979999999996,23161.0,17407.0,38846.99,16907.0,38880.99,29735.979999999996,14777.0,38951.979999999996,28363.97,14518.0,12399.99,61451.0,27685.989999999998,9025.0,22957.0,49885.0,4702.0,8273.0,8503.0,32694.989999999998,41097.979999999996,38515.99,37623.99,37335.979999999996,29474.989999999998,14384.0,16966.0,17706.0,16908.0,4158.0,24509.97,18324.0,11733.0,1917.0,6315.99,2445.0,719.0
2013,1901181.95,17883.0,13855.0,15777.0,24980.97,11769.0,11798.0,8384.0,13077.0,13167.0,85385.98999999999,8604.0,12361.0,10346.0,10308.0,15094.0,15110.0,15372.0,136020.94,7603.0,12492.98,711.0,14584.0,16543.0,11968.98,15640.0,9201.0,7489.0,7272.0,64373.99,5636.98,4138.0,,70244.98999999999,15042.0,29843.98,49739.94999999999,,55782.97,9567.0,13354.98,6530.99,10863.0,33361.0,35404.0,59383.99,10100.0,8266.0,56516.99,22232.0,17354.0,38753.99,17141.0,38902.979999999996,29887.989999999998,14596.0,39559.99,28732.96,14798.0,12395.99,62555.99,27875.97,8941.0,23183.009999999995,49324.99,4427.0,8160.0,8376.0,32460.989999999998,41253.979999999996,37876.0,37338.99,38487.99,29196.0,14723.0,17145.0,17472.0,16753.0,4184.0,24584.989999999998,18738.0,11482.99,1903.0,6401.98,2365.0,667.0
2014,1918089.96,17822.0,13657.99,15817.0,25331.99,11694.97,11882.0,8277.0,13118.0,13450.0,90040.98,8434.0,12515.0,10412.0,10453.0,14860.0,15206.0,15191.0,137582.95,7842.0,12318.98,717.0,14331.0,16174.0,12194.0,16016.0,9069.0,7299.0,7156.0,67214.98,5691.99,3977.0,,73570.97,15216.0,29577.0,51562.97,,57114.99,9454.0,13482.0,6393.98,10830.99,32894.0,36507.979999999996,60516.99,10100.0,8182.0,56689.99,22115.0,17264.0,38953.99,16749.0,39119.0,29389.989999999998,14736.0,40526.99,28740.989999999998,15033.0,11914.0,62875.0,27770.0,9164.0,24212.979999999996,49838.979999999996,4447.0,7954.0,8160.0,31428.98,41357.969999999994,37182.0,36120.979999999996,38485.969999999994,29808.989999999998,14664.0,17141.0,17460.0,17074.0,4221.0,24833.969999999994,18804.0,11158.99,1838.0,6675.0,2356.0,674.0
2015,1944135.92,17864.0,14067.0,16284.0,25923.979999999996,11761.0,12803.0,8156.0,13047.0,13468.0,94687.98999999999,8569.0,12633.0,10190.0,10366.0,14780.0,15814.0,15472.0,142389.97,7731.0,11797.0,762.0,13908.0,16381.0,12413.0,16105.0,9099.0,7364.0,7183.0,70725.0,5612.99,3823.0,23951.0,74172.0,14875.0,29481.969999999994,51145.99,5470.99,54724.0,8674.0,12627.0,5802.99,10341.0,32056.979999999996,36343.969999999994,59196.0,9951.0,7864.0,56899.0,22195.0,17138.0,38800.979999999996,16554.0,40090.979999999996,28486.989999999998,14488.0,40973.0,28738.989999999998,15025.0,11594.99,62198.0,26835.989999999998,8965.0,24203.0,48744.0,4022.0,7489.0,7911.0,30064.989999999998,41198.0,37142.99,33977.979999999996,39019.979999999996,28582.0,14618.0,16981.0,16791.0,16459.0,4150.0,24602.0,19124.0,10781.0,1753.0,6647.98,2349.0,683.0
