,Российская Федерация,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,город Москва,Республика Карелия,Республика Коми,Ненецкий автономный округ (Архангельская область),Архангельская область (кроме Ненецкого автономного округа),Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,город Санкт-Петербург,Республика Адыгея (Адыгея),Республика Калмыкия,Республика Крым,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,город Севастополь,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия-Алания,Чеченская Республика,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан (Татарстан),Удмуртская Республика,Чувашская Республика - Чувашия,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Ханты-Мансийский автономный округ - Югра (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),Тюменская область (без автономных округов),Челябинская область,Республика Алтай,Республика Тыва,Республика Хакасия,Алтайский край,Красноярский край,Иркутская область,Кемеровская область - Кузбасс,Новосибирская область,Омская область,Томская область,Республика Бурятия,Забайкальский край,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская автономная область,Чукотский автономный округ
1999,147539426,1494868,1437471,1592184,2458558,1210603,1079831,769681,1296206,1239185,6653499,891035,1288562,1116371,1247855,1566617,1765958,1419433,9783242,743573,1077990,41513,1372631,1309832,961257,1693301,964065,726027,804632,4770897,450358,310457,,5130451,1016372,2750443,4475367,,2392292,301745,870822,441281,684130,1159839,2735469,4117545,747446,927437,3789259,1601409,1338819,2896771,1568722,3655489,2217558,1514283,3302566,2719990,1439759,1068503,4607587,1359069,498996,1368028,3671985,201699,306169,561366,2662738,3048716,2667886,2985392,2734031,2153911,1062469,1013433,1207030,977117,380481,2167274,1493881,949526,211696,581305,199172,67010
2000,146890128,1501699,1423178,1575507,2441337,1194595,1070426,761907,1281733,1233679,6628173,884269,1274503,1099389,1231054,1543796,1743368,1406111,9932932,735462,1057873,41174,1349160,1299611,958782,1686716,941062,718565,793239,4741923,449052,308347,,5133449,1012385,2738531,4454446,,2442609,340028,878990,439981,693564,1110237,2740927,4119810,743828,918443,3789688,1595571,1334219,2878903,1553595,3628222,2211204,1500196,3291598,2710645,1427375,1059515,4577515,1359646,496292,1362418,3660112,202441,306152,557481,2651628,3022092,2644022,2963439,2725499,2136058,1057846,1004808,1192819,962507,372308,2141025,1473876,935607,201974,569234,195135,61613
2001,146303611,1506976,1407965,1558052,2422371,1178969,1060285,753972,1266467,1228106,6613469,876672,1258828,1082207,1213591,1519569,1719665,1393727,10114203,728813,1042880,40931,1328187,1290370,957533,1680358,922875,710261,781844,4714844,447327,307281,,5132798,1009281,2725433,4439314,,2486002,445443,886698,440621,704351,996427,2740899,4115176,739091,908152,3786845,1588054,1327743,2858588,1536772,3594476,2203616,1484149,3275823,2699385,1413571,1047114,4545942,1383449,498271,1352532,3643949,203030,305729,554411,2641079,3000891,2623183,2942264,2715128,2117291,1054272,996912,1178824,957478,366400,2120467,1459908,923055,193945,560049,193198,57534
2002,145649334,1508137,1391430,1539179,2397111,1161861,1049614,743967,1248588,1220476,6609152,867553,1240958,1063269,1193381,1491451,1694008,1378417,10269900,721538,1029644,40896,1309552,1278543,955449,1672685,905735,700859,769653,4688414,446628,297583,,5131618,1005510,2709610,4417648,,2536077,455519,894356,439803,709630,1072867,2736173,4108249,732774,897136,3781867,1578187,1319498,2837146,1518378,3554696,2189876,1466215,3254055,2682054,1395882,1030748,4514084,1411867,503121,1336496,3621426,202945,305216,549489,2621050,2981746,2599675,2917769,2703012,2094735,1049770,987289,1165435,951478,361646,2085743,1446177,911381,187218,552155,191899,55309
2003,144963650,1511899,1375004,1520057,2374461,1144540,1038614,734453,1231097,1211008,6616879,858312,1223738,1045878,1174233,1465568,1669792,1364374,10386903,715213,1016040,41699,1290956,1266848,954093,1667150,889809,692138,758119,4656474,446828,291850,,5119857,1004780,2694232,4396672,,2581412,468773,901051,438853,709671,1105378,2732502,4102274,726730,886165,3777667,1568176,1311737,2813770,1498976,3515673,2176000,1449233,3235699,2663481,1378931,1016184,4477552,1437729,508600,1323533,3597659,203038,305493,545198,2602595,2961871,2577702,2893448,2688423,2075422,1045539,979605,1152596,948636,357917,2067342,1434242,901044,181832,545008,190585,53137
2004,144333586,1513860,1360249,1509571,2367457,1131027,1031655,723142,1213372,1205271,6671325,847051,1210325,1039132,1161854,1447825,1649221,1347055,10535681,702847,999857,41881,1273668,1255924,947887,1673287,873145,682965,746750,4662038,444848,292168,,5114905,1006073,2672392,4375520,,2617502,451933,889639,444342,707679,1116910,2739065,4094215,722703,878299,3773105,1561092,1301632,2783049,1472481,3481080,2149942,1439986,3229151,2639528,1366879,999446,4434165,1453541,510846,1317268,3569284,202571,304957,541414,2571987,2931905,2552298,2862105,2674155,2052741,1037952,974561,1142687,949969,350510,2048582,1416224,887781,178069,536783,188412,51933
2005,143801046,1511662,1344132,1497598,2364932,1116739,1027581,711978,1195812,1198580,6736742,835165,1199404,1032297,1150828,1432612,1631778,1329799,10726429,689601,982890,41906,1257312,1245769,942098,1681445,856939,674519,734520,4686491,443300,293179,,5118903,1006467,2656212,4352715,,2652711,433685,877308,450220,706393,1133172,2741116,4081349,718260,871848,3768167,1554292,1291065,2751562,1445356,3447896,2122459,1431060,3225275,2615575,1354580,981029,4394041,1462194,514581,1311562,3541787,202333,304066,537973,2539430,2901930,2524080,2832963,2665984,2034091,1029944,970994,1132780,953170,343908,2028377,1396800,874018,173937,529813,185763,51815
2006,143236582,1511715,1327652,1486453,2360912,1101862,1023341,699761,1177627,1193890,6783853,822096,1188811,1025442,1138550,1415272,1615194,1312813,10923762,676041,962952,41914,1239924,1234940,936574,1685376,839429,665616,720770,4712854,440993,293515,,5127251,1002517,2640392,4332443,,2692619,417392,866158,454487,706896,1152335,2746873,4066257,713422,864704,3761600,1545820,1278903,2718765,1418645,3414325,2093495,1420065,3225643,2591231,1340335,961815,4356425,1467792,517385,1308653,3516661,201674,302889,533824,2503510,2869315,2492143,2805941,2654853,2016288,1024294,966914,1123327,954394,336594,2006536,1376260,861056,170397,521121,181653,52391
2007,142862692,1514153,1312748,1475861,2353805,1089837,1020141,689815,1161582,1190408,6846821,811389,1181504,1017901,1127014,1398847,1600138,1299965,11091428,665032,944816,41854,1224813,1225780,934330,1691111,823978,657584,708234,4747550,438603,293011,,5142911,1001300,2629959,4314652,,2735837,406739,858460,461650,708800,1171975,2747079,4053439,708546,857903,3763106,1538602,1268614,2691600,1396017,3384358,2067890,1411733,3223938,2572396,1325914,946068,4330579,1475188,521621,1309889,3496983,201744,302357,531140,2473024,2845425,2467383,2785999,2647195,2003282,1023063,964581,1115143,956099,330810,1988580,1359894,850502,166902,513452,179405,52913
2008,142747535,1520102,1303343,1466743,2344413,1081112,1017726,683416,1151857,1186707,6895369,805207,1174337,1009016,1116438,1386952,1587959,1292536,11186851,659404,934867,41900,1215264,1219775,935297,1692577,815140,652198,699591,4764864,437900,291654,,5170686,1005897,2623128,4297613,,2788600,406621,857282,466366,711509,1196920,2759676,4054821,704949,851658,3766778,1532946,1263016,2673957,1379383,3362817,2055701,1405351,3220938,2558322,1316217,934512,4320114,1491240,524012,1315355,3489092,203128,303783,531307,2453455,2837013,2455410,2780231,2642727,1993290,1026307,965156,1111439,958929,327949,1977392,1354848,844290,163989,509364,178711,52825
