,region,production_field,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Российская Федерация,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,3062459894.0,3720886658.0,4488914995.0,5271732562.0,5090973012.0,6217952034.1,8020217498.56,8950066498.83,9213744949.66,9690977693.16,11259541652.7,11730497742.4,13916164842.7,18193869946.9,18324126764.6,14498899587.47
1,Российская Федерация,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,8871975885.0,11185373836.0,13977777237.0,16863615035.0,14351984832.0,18880736716.85,22813279482.46,25110611030.21,26839759881.09,29661252018.08,35090428237.33,36166118953.42,38712462741.97,44599511887.91,47436024531.27,47782550088.77
2,Российская Федерация,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,1690655680.0,2162207096.0,2145668486.0,2572987541.0,3030164556.0,3665279734.63,4219137424.26,4160147357.63,4491574371.8,4712009046.89,4917676983.22,5332278137.3,5379682101.53,5641920057.83,5805454072.83,5959974485.08
3,Белгородская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,40389903.8,41101609.9,56922776.3,62221491.5,35375249.7,73704030.2,110158114.1,94390019.14,96017055.3,84222653.6,81211147.2,88929906.1,116588313.5,148863422.7,178389894.9,189803813.7
4,Белгородская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,101733703.2,136648611.4,191797767.1,270780688.3,241638293.0,319535999.4,369160548.9,409329770.08,404466628.54,470245297.24,562897323.5,603881379.96,629092604.8,710828806.31,722699719.47,746380688.41
5,Белгородская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,14705846.7,17032566.2,16144094.65,17132154.3,18758086.0,22524715.5,25057795.6,25258992.3,28868066.8,27360423.8,28740007.8,28225012.75,27030715.9,26805485.3,26542583.5,26787381.9
6,Брянская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,136414.9,141595.15,160417.4,158416.6,171627.7,248249.7,370310.5,408871.4,387776.8,433378.3,425336.6,280672.3,277427.7,261549.5,338027.3,310665.9
7,Брянская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,36954183.75,46796419.55,59920063.1,72687051.45,57848286.7,73862693.9,91981850.8,110054591.9,117647499.35,126464695.63,171551076.2,175557997.82,191018941.6,218544123.8,253661572.1,255686208.3
8,Брянская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,7847969.3,8145168.2,8010096.4,9274234.3,10540095.9,12958634.0,14010325.7,14101974.73,10924213.6,13835732.87,15548651.8,16828772.5,16064108.9,17730258.7,17708749.5,17876399.5
9,Владимирская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,552232.8,749592.05,1148717.5,1671730.88,1302697.05,1516791.1,1632291.4,2142804.85,3643259.3,4648023.3,3406255.4,3180328.6,4003911.4,5005218.9,5425671.9,4965110.5
10,Владимирская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,81951987.52,99360809.0,144721046.4,160852829.7,142251801.0,189370407.9,222325446.8,244800473.96,270978369.61,313682226.6,376168121.2,411594159.61,406483639.23,448427737.2,491830249.31,526153656.11
11,Владимирская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,12290273.45,15452645.3,13835109.3,17245520.65,20016688.55,22523478.7,26367923.2,28155375.0,30056751.8,31440918.05,33321196.9,36603516.27,33308180.36,36295121.0,37815667.16,37264660.97
12,Воронежская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,988239.1,1476910.4,2024267.4,2816051.0,2865124.0,2737212.8,3100083.9,5618142.38,7982461.23,5246206.88,5250336.9,5601161.95,6282741.9,7726219.1,9026582.6,9230600.5
13,Воронежская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,76778528.4,89882714.0,109969055.4,139869049.4,132502856.9,175892206.4,228301974.6,250018923.19,258914182.61,310682364.91,396550138.6,414143512.46,422943623.6,448223412.7,505912516.6,552645129.4
14,Воронежская область,ЭЛЕКТРОЭНЕРГИЯ И ГАЗ,16246042.4,20879785.7,20814466.8,27016514.74,34450827.24,42016187.7,42595752.7,47264531.76,55283057.3,57921548.72,59743831.8,64230792.22,88207265.3,99618105.83,110384800.9,137798961.7
15,Ивановская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,247417.5,363587.9,458240.7,676473.7,429417.0,596385.7,664325.9,739778.6,687440.6,747344.3,932747.0,891811.4,754680.2,971838.3,1237760.3,1170505.2
