,Российская Федерация,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,город Москва,Республика Карелия,Республика Коми,Ненецкий автономный округ (Архангельская область),Архангельская область (кроме Ненецкого автономного округа),Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,город Санкт-Петербург,Республика Адыгея (Адыгея),Республика Калмыкия,Республика Крым,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,город Севастополь,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия-Алания,Чеченская Республика,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан (Татарстан),Удмуртская Республика,Чувашская Республика - Чувашия,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Ханты-Мансийский автономный округ - Югра (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),Тюменская область (без автономных округов),Челябинская область,Республика Алтай,Республика Тыва,Республика Хакасия,Алтайский край,Красноярский край,Иркутская область,Кемеровская область - Кузбасс,Новосибирская область,Омская область,Томская область,Республика Бурятия,Забайкальский край,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская автономная область,Чукотский автономный округ
2000,16046.0,11820.0,8267.0,7442.0,11713.0,6687.0,8723.0,9132.0,10271.0,13327.0,14616.0,10831.0,8836.0,13648.0,11286.0,9488.0,8676.0,10103.0,68083.0,13765.0,18341.0,13040.0,,10665.0,13575.0,9417.0,21984.0,12958.0,10180.0,18292.0,9712.0,4844.0,,12107.0,10876.0,10958.0,13625.0,,5620.0,2968.0,7249.0,7659.0,9289.0,,11098.0,11998.0,6979.0,7267.0,11830.0,9510.0,7451.0,14103.0,8946.0,11952.0,7747.0,9224.0,25706.0,10872.0,10008.0,8061.0,12861.0,21482.0,26138.0,,10857.0,6429.0,5843.0,10313.0,9221.0,16141.0,15767.0,12994.0,14573.0,10477.0,12387.0,10959.0,8419.0,21030.0,19297.0,11819.0,13723.0,12303.0,14806.0,14152.0,9198.0,13723.0
2001,21031.0,13837.0,10951.0,9403.0,15777.0,8235.0,12378.0,11182.0,12720.0,15833.0,18499.0,13865.0,11801.0,18049.0,14135.0,11988.0,11260.0,12743.0,86968.0,18009.0,29471.0,21404.0,,14204.0,17508.0,12871.0,27344.0,16224.0,13922.0,23892.0,11570.0,6843.0,,16150.0,14265.0,14420.0,18205.0,,7023.0,5415.0,9969.0,9226.0,11343.0,,14410.0,15970.0,8519.0,8961.0,16177.0,11982.0,10077.0,19040.0,10998.0,16089.0,9942.0,11585.0,32791.0,13650.0,12497.0,10905.0,17834.0,29731.0,34725.0,,14578.0,8766.0,7550.0,12592.0,12280.0,21183.0,19241.0,18709.0,19286.0,14560.0,15425.0,14662.0,12206.0,25543.0,23315.0,16089.0,17753.0,14786.0,19700.0,21250.0,13088.0,22132.0
2002,25913.0,16366.0,14312.0,10984.0,18238.0,10452.0,16855.0,14110.0,15083.0,18577.0,23258.0,18142.0,15680.0,21913.0,16899.0,15157.0,14115.0,15843.0,100184.0,24136.0,35903.0,26254.0,,17463.0,20586.0,15961.0,32493.0,19315.0,19996.0,29814.0,12750.0,7624.0,,21442.0,17668.0,18579.0,23133.0,,9828.0,4235.0,13508.0,12594.0,12938.0,,18251.0,19986.0,10444.0,10751.0,19730.0,14481.0,11986.0,24118.0,14635.0,21147.0,11914.0,14345.0,39384.0,16925.0,16535.0,14186.0,23960.0,37327.0,43664.0,,18490.0,10783.0,9529.0,14126.0,15839.0,25542.0,22409.0,24973.0,25230.0,20046.0,20753.0,18310.0,16885.0,30762.0,26788.0,20393.0,22922.0,17229.0,24101.0,28378.0,18310.0,32979.0
2003,31557.0,19222.0,17988.0,13357.0,22189.0,12413.0,22290.0,17308.0,19014.0,21782.0,29255.0,20988.0,19713.0,25566.0,20400.0,19326.0,17770.0,18859.0,112698.0,28001.0,44130.0,32808.0,,21261.0,24253.0,18515.0,38803.0,22634.0,25044.0,34743.0,15078.0,8366.0,,26255.0,21623.0,23045.0,27945.0,,15792.0,5338.0,16983.0,16879.0,14870.0,,22110.0,25324.0,12351.0,14000.0,25685.0,16823.0,15002.0,29944.0,16591.0,26302.0,14087.0,17433.0,45786.0,20543.0,20951.0,17951.0,30104.0,52381.0,53012.0,,23051.0,13842.0,11734.0,17027.0,20534.0,30485.0,26310.0,30641.0,30935.0,26222.0,27633.0,22842.0,23107.0,42438.0,30764.0,24917.0,27673.0,20378.0,29511.0,35556.0,23575.0,38253.0
2004,39166.0,24168.0,22849.0,16584.0,28294.0,15505.0,30334.0,22502.0,25340.0,28438.0,42511.0,25392.0,24872.0,29930.0,25425.0,28129.0,23647.0,23650.0,128880.0,34855.0,56043.0,38974.0,,25152.0,30499.0,27424.0,45445.0,27018.0,32360.0,46188.0,19762.0,10254.0,,32712.0,25775.0,30038.0,34888.0,,22067.0,6738.0,21148.0,21464.0,17917.0,8076.0,29149.0,32675.0,14972.0,17459.0,32285.0,20410.0,18363.0,36552.0,20727.0,33405.0,19140.0,22452.0,56459.0,25583.0,25176.0,23513.0,40562.0,67805.0,68062.0,,29401.0,16556.0,14782.0,19931.0,25927.0,36268.0,32919.0,38835.0,39038.0,32547.0,35509.0,28521.0,29483.0,47409.0,35504.0,31704.0,34380.0,26781.0,33831.0,45754.0,31193.0,41111.0
2005,49063.0,30174.0,28892.0,21140.0,35245.0,19064.0,38301.0,26448.0,31238.0,35123.0,54721.0,31477.0,30404.0,37938.0,33924.0,41084.0,29868.0,30451.0,146519.0,42225.0,70173.0,51057.0,,28599.0,38890.0,37218.0,53813.0,33306.0,38821.0,62239.0,25129.0,13220.0,,41795.0,32717.0,38340.0,45078.0,,30736.0,7891.0,26884.0,27656.0,24206.0,10242.0,36945.0,43541.0,19491.0,21442.0,42881.0,25218.0,23196.0,47616.0,25373.0,40791.0,25811.0,28237.0,70023.0,31825.0,30154.0,30132.0,54135.0,88011.0,92616.0,,41639.0,19608.0,18447.0,22841.0,32543.0,43881.0,41587.0,49976.0,52572.0,41169.0,45497.0,36472.0,35002.0,54848.0,42387.0,41675.0,43620.0,32829.0,40935.0,59836.0,39171.0,41405.0
2006,60901.0,41387.0,36931.0,29719.0,39692.0,26811.0,48173.0,33681.0,41735.0,44561.0,72711.0,36015.0,37588.0,45886.0,42611.0,49903.0,38033.0,40318.0,165138.0,51939.0,86115.0,63280.0,,36461.0,47629.0,46892.0,63863.0,41401.0,46412.0,75551.0,29762.0,17646.0,,53493.0,42007.0,44729.0,55373.0,,40028.0,10366.0,32936.0,34300.0,32625.0,8947.0,45103.0,58900.0,28558.0,26084.0,56865.0,32581.0,29215.0,65811.0,31215.0,52256.0,33396.0,33558.0,81528.0,38694.0,40493.0,41805.0,69846.0,117179.0,119293.0,,56657.0,25607.0,22279.0,30391.0,42444.0,56886.0,51625.0,64013.0,66600.0,50510.0,55341.0,43769.0,42302.0,66622.0,52804.0,50851.0,54317.0,40948.0,49440.0,82315.0,45012.0,45132.0
2007,76111.0,55460.0,48448.0,42497.0,49708.0,34985.0,62354.0,42714.0,54693.0,57819.0,96164.0,47717.0,50214.0,57527.0,55816.0,57518.0,52842.0,52702.0,183163.0,62431.0,104469.0,79578.0,,46701.0,61681.0,59236.0,79512.0,52532.0,55408.0,94178.0,37355.0,20953.0,,73367.0,55755.0,56237.0,74197.0,,53091.0,12523.0,41439.0,38889.0,40605.0,13268.0,57643.0,79776.0,37254.0,34136.0,73430.0,42910.0,38199.0,82156.0,41527.0,68860.0,43780.0,52387.0,96889.0,47489.0,53905.0,58087.0,92777.0,151013.0,149563.0,,72055.0,36074.0,26224.0,40121.0,53937.0,75202.0,61465.0,80381.0,80739.0,64234.0,62827.0,56437.0,51193.0,77356.0,65627.0,60937.0,67339.0,49413.0,59698.0,98458.0,51274.0,52030.0
2008,97688.0,74599.0,64977.0,56943.0,71127.0,53683.0,79408.0,56042.0,69533.0,78841.0,128115.0,65715.0,70697.0,76909.0,76549.0,75203.0,74649.0,71145.0,210569.0,77331.0,123378.0,94223.0,,58215.0,81520.0,77165.0,103988.0,74184.0,73283.0,120473.0,58465.0,25323.0,,96611.0,77056.0,71012.0,98585.0,,77414.0,16195.0,55926.0,48215.0,54261.0,24235.0,73655.0,105716.0,51458.0,46586.0,97953.0,60422.0,53725.0,104328.0,56944.0,93656.0,61444.0,67115.0,120208.0,62353.0,65149.0,78831.0,122118.0,192562.0,191602.0,,97783.0,51771.0,30695.0,51896.0,70308.0,97365.0,78332.0,98562.0,102627.0,82565.0,73252.0,70665.0,67881.0,91647.0,81454.0,76012.0,82024.0,64081.0,70108.0,134570.0,63606.0,81808.0
2009,102245.0,82140.0,72683.0,60661.0,79140.0,55235.0,83886.0,59735.0,76319.0,88532.0,127858.0,67382.0,76080.0,85583.0,81414.0,81268.0,81080.0,72642.0,223049.0,82059.0,110209.0,106066.0,,57479.0,91669.0,83032.0,114692.0,84485.0,76867.0,125773.0,71536.0,29271.0,,106134.0,83032.0,77090.0,92495.0,,96617.0,17640.0,63924.0,53623.0,62795.0,35980.0,82578.0,112932.0,56995.0,52385.0,104235.0,64258.0,57752.0,109322.0,58434.0,93026.0,66796.0,73740.0,120602.0,64373.0,67266.0,74098.0,128308.0,171509.0,169088.0,,99992.0,53142.0,33443.0,59634.0,65303.0,98555.0,78287.0,84420.0,104862.0,84480.0,73034.0,77844.0,75885.0,104612.0,94403.0,83655.0,95197.0,71086.0,82500.0,157345.0,75485.0,96722.0
